City_final,Latitude,Longitude
Schonach im Schwarzwald,48.1427148,8.1974937
Kobyłka,52.3399711,21.1905442
Erkelenz,51.080992,6.3160684
Heide,54.1948848,9.0928251
Bo,-17.0568696,-64.9912286
Bremerhaven,53.5505392,8.5851945
Ampfing,48.2550234,12.4190555
Eger,47.8989887,20.3743665
Leopoldshöhe,52.0064215,8.6888207
Bergneustadt,51.0207425,7.6490729
Hennigsdorf,52.6375777,13.2057511
Schliersee,47.7345915,11.8620286
Gaildorf,49.0002603,9.7698525
Kitzingen,49.7380667,10.1601218
Lennestadt,51.1245718,8.0568953
Kaiserslautern,49.4432174,7.7689951
Plön,54.158082,10.41771
Konz,49.6984949,6.5736454
Landau in der Pfalz,49.1982825,8.1123441
Nordenham,53.4973636,8.4820227
Raschau-Markersbach,50.5277795,12.8582117
Wirges,50.4700819,7.7956173
Lörrach,47.6120896,7.6607218
Öhringen,49.2005034,9.5024397
Zetel,53.4159196,7.9704832
Weimar,50.9793301,11.3297921
Bobingen,48.2687941,10.8337852
Wedding,52.5431097,13.3649521
Sankt Augustin,50.7752776,7.1895507
Haselünne,52.6718718,7.4830538
Oberkochen,48.7840324,10.1060512
Siegburg,50.7928332,7.2070774
Greven,52.0929254,7.6120326
Birstein,50.3923,9.30438
Altenburg,50.9852411,12.4340988
Brakel,51.7168889,9.1841762
Pinneberg,53.7278939,9.6979598
Lydenburg,-25.099437,30.458881
Mahlberg,48.2871478,7.8124221
Leverkusen,51.0324743,6.9881194
Pa,8.559559,-81.1308434
Mühldorf,48.2405007,12.5250991
Starnberg,47.9986851,11.3410791
Meißenheim,48.410514,7.7734667
Rommerskirchen,51.0633574,6.6978814
Lychen,53.2083284,13.3164795
Zella-Mehlis,50.6560839,10.6639646
Eisleben Lutherstadt,51.5182996,11.5509676
Eiterfeld,50.7703444,9.8385732
Neustadt-Glewe,53.393252,11.5753248
Finnentrop,51.1729173,7.9724578
Thal,47.0792405,15.3549817
Ahrensburg,53.6736529,10.2358999
Blankenburg,51.7902676,10.9551991
Germersheim,49.2222749,8.36659
Mon,54.2359207,-4.5147669
Bürstadt,49.6531823,8.4747076
Haaksbergen,52.1564581,6.740239
Bad Essen,52.3195756,8.3440599
Heiligenhaus,51.32658,6.9710401
Mut,36.6434207,33.437263
Sonneberg,50.3575412,11.1691714
Recklinghausen,51.6143815,7.1978546
Delmenhorst,53.048095,8.6286066
Freising,48.4008273,11.7439565
Peine,52.3117289,10.251904
Altshausen,47.934423,9.5386115
Baiersbronn,48.5069519,8.3720124
Lüdenscheid,51.218137,7.6396975
Alsbach-Hähnlein,49.7383506,8.5950049
Schenefeld,54.0484989,9.4703368
Hallbergmoos,48.3182064,11.7445128
Burbach,48.9009773,7.1122271
Waldkirch,48.0939396,7.9610142
Stuhr,53.027353,8.7497818
Bad Wildungen,51.1029078,9.0940685
Warendorf,51.9532449,7.9912335
Winhöring,48.2670046,12.6509702
Erlangen,49.5891571,10.9812072
